difficulty,winrate,pickPolicy,carryCap,run,period,netWorth
1,1,synergy,off,11,16,4504.12
1,1,synergy,off,11,17,13257.62
1,1,synergy,off,11,18,13956.37
1,1,synergy,off,11,19,9787.27
1,1,synergy,off,11,20,8407.27
1,1,synergy,off,11,21,8432.27
1,1,synergy,off,11,22,8654.52
1,1,synergy,off,11,23,10363.77
1,1,synergy,off,11,24,6601.45
1,1,synergy,off,11,25,7404.45
1,1,synergy,off,11,26,9955.20
1,1,synergy,off,11,27,10010.20
1,1,synergy,off,11,28,9875.20
1,1,synergy,off,11,29,10338.70
1,1,synergy,off,11,30,12639.40
1,1,synergy,off,11,31,10047.93
1,1,synergy,off,11,32,13401.43
1,1,synergy,off,11,33,19009.16
1,1,synergy,off,11,34,19014.16
1,1,synergy,off,11,35,20679.66
1,1,synergy,off,11,36,20939.66
1,1,synergy,off,11,37,32747.56
1,1,synergy,off,11,38,50697.69
1,1,synergy,off,11,39,130359.35
1,1,synergy,off,11,40,65514.34
1,1,synergy,off,12,1,-4980.00
1,1,synergy,off,12,2,-4948.69
1,1,synergy,off,12,3,-4948.69
1,1,synergy,off,12,4,-4945.72
1,1,synergy,off,12,5,-4935.61
1,1,synergy,off,12,6,-4865.35
1,1,synergy,off,12,7,-4685.90
1,1,synergy,off,12,8,-4351.66
1,1,synergy,off,12,9,-4346.66
1,1,synergy,off,12,10,-4291.66
1,1,synergy,off,12,11,-3847.10
1,1,synergy,off,12,12,-3337.08
1,1,synergy,off,12,13,-3622.18
1,1,synergy,off,12,14,-3540.73
1,1,synergy,off,12,15,-3442.00
1,1,synergy,off,12,16,-3333.42
1,1,synergy,off,12,17,-1555.26
1,1,synergy,off,12,18,-1445.26
1,1,synergy,off,12,19,-375.26
1,1,synergy,off,12,20,614.74
1,1,synergy,off,12,21,2826.44
1,1,synergy,off,12,22,2911.44
1,1,synergy,off,12,23,3626.44
1,1,synergy,off,12,24,5226.44
1,1,synergy,off,12,25,23557.71
1,1,synergy,off,12,26,32449.71
1,1,synergy,off,12,27,52297.76
1,1,synergy,off,12,28,14847.76
1,1,synergy,off,12,29,22482.76
1,1,synergy,off,12,30,25487.76
1,1,synergy,off,12,31,25392.76
1,1,synergy,off,12,32,35581.16
1,1,synergy,off,12,33,67849.76
1,1,synergy,off,12,34,68366.03
1,1,synergy,off,12,35,74658.78
1,1,synergy,off,12,36,70038.78
1,1,synergy,off,12,37,275388.78
1,1,synergy,off,12,38,275318.78
1,1,synergy,off,12,39,275928.78
1,1,synergy,off,12,40,58948.78
1,1,synergy,off,13,1,-4980.00
1,1,synergy,off,13,2,-4969.48
1,1,synergy,off,13,3,-4962.20
1,1,synergy,off,13,4,-4953.28
1,1,synergy,off,13,5,-4955.97
1,1,synergy,off,13,6,-4938.86
1,1,synergy,off,13,7,-4877.07
1,1,synergy,off,13,8,-4767.29
1,1,synergy,off,13,9,-4348.50
1,1,synergy,off,13,10,-3892.72
1,1,synergy,off,13,11,-2479.69
1,1,synergy,off,13,12,352.95
1,1,synergy,off,13,13,502.95
1,1,synergy,off,13,14,2872.95
1,1,synergy,off,13,15,3152.95
1,1,synergy,off,13,16,3577.95
1,1,synergy,off,13,17,4207.95
1,1,synergy,off,13,18,4999.51
1,1,synergy,off,13,19,7326.23
1,1,synergy,off,13,20,9949.32
1,1,synergy,off,13,21,19037.19
1,1,synergy,off,13,22,33161.25
1,1,synergy,off,13,23,33514.46
1,1,synergy,off,13,24,9832.90
1,1,synergy,off,13,25,10112.90
1,1,synergy,off,13,26,12119.44
1,1,synergy,off,13,27,13660.68
1,1,synergy,off,13,28,14494.66
1,1,synergy,off,13,29,21971.06
1,1,synergy,off,13,30,23416.31
1,1,synergy,off,13,31,25355.06
1,1,synergy,off,13,32,21785.06
1,1,synergy,off,13,33,42755.46
1,1,synergy,off,13,34,58089.78
1,1,synergy,off,13,35,68702.63
1,1,synergy,off,13,36,52737.63
1,1,synergy,off,13,37,52482.63
1,1,synergy,off,13,38,134300.13
1,1,synergy,off,13,39,216478.88
1,1,synergy,off,13,40,71182.01
1,1,synergy,off,14,1,-4980.00
1,1,synergy,off,14,2,-4979.89
1,1,synergy,off,14,3,-4963.39
1,1,synergy,off,14,4,-4923.00
1,1,synergy,off,14,5,-4851.86
1,1,synergy,off,14,6,-4601.86
1,1,synergy,off,14,7,-4181.94
1,1,synergy,off,14,8,-2516.94
1,1,synergy,off,14,9,-2371.94
1,1,synergy,off,14,10,-1997.86
1,1,synergy,off,14,11,-1691.03
1,1,synergy,off,14,12,-1298.20
1,1,synergy,off,14,13,-558.73
1,1,synergy,off,14,14,2531.54
1,1,synergy,off,14,15,2776.54
1,1,synergy,off,14,16,5726.54
1,1,synergy,off,14,17,5446.54
1,1,synergy,off,14,18,9276.54
1,1,synergy,off,14,19,18291.94
1,1,synergy,off,14,20,24331.94
1,1,synergy,off,14,21,87716.48
1,1,synergy,off,14,22,49437.76
1,1,synergy,off,14,23,49582.76
1,1,synergy,off,14,24,19695.01
1,1,synergy,off,14,25,20337.51
1,1,synergy,off,14,26,20890.38
1,1,synergy,off,14,27,21700.41
1,1,synergy,off,14,28,23514.67
1,1,synergy,off,14,29,30210.31
1,1,synergy,off,14,30,25765.79
1,1,synergy,off,14,31,28896.33
1,1,synergy,off,14,32,28936.33
1,1,synergy,off,14,33,30838.15
1,1,synergy,off,14,34,34999.29
1,1,synergy,off,14,35,36114.25
1,1,synergy,off,14,36,37253.34
1,1,synergy,off,14,37,38284.59
